question_id,source_question_number,question,topic,reference_answer,rubric,difficulty,irt_difficulty,active
MOHLER_1_1,1.1,What is the role of a prototype program in problem solving?,C++ Fundamentals,To simulate the behaviour of portions of the desired software product.,1. To simulate the behaviour of portions of the desired software product,Hard,1.0,True
MOHLER_1_2,1.2,What stages in the software life cycle are influenced by the testing stage?,C++ Fundamentals,The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7).,1. The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7),Hard,1.0,True
MOHLER_1_3,1.3,What are the main advantages associated with object-oriented programming?,C++ Fundamentals,Abstraction and reusability.,1. Abstraction and reusability,Hard,1.0,True
MOHLER_1_4,1.4,Where do C plus plus programs begin to execute?,C++ Fundamentals,At the main function.,1. At the main function,Easy,-1.0,True
MOHLER_1_5,1.5,What is a variable?,C++ Fundamentals,A location in memory that can store a value.,1. A location in memory that can store a value,Easy,-1.0,True
MOHLER_1_6,1.6,Where are variables declared in a C plus plus program?,C++ Fundamentals,Variables can be declared anywhere in a program.  They can be declared inside a function  local variables  or outside the functions  global variables,1. Variables can be declared anywhere in a program | 2. They can be declared inside a function local variables or outside the functions global variables,Hard,1.0,True
MOHLER_1_7,1.7,What is the main difference between a while and a do ... while statement?,C++ Fundamentals,The block inside a do ... while statement will execute at least once.,1. The block inside a do | 2. while statement will execute at least once,Easy,-1.0,True
MOHLER_2_1,2.1,What is typically included in a class definition?,Object-Oriented Programming,Data members  attributes  and member functions.,1. Data members attributes and member functions,Medium,0.0,True
MOHLER_2_2,2.2,What is the difference between a data member and a local variable inside a member function?,Object-Oriented Programming,Data members can be accessed from any member functions inside the class defintion.  Local variables can only be accessed inside the member function that defines them.,1. Data members can be accessed from any member functions inside the class defintion | 2. Local variables can only be accessed inside the member function that defines them,Medium,0.0,True
MOHLER_2_3,2.3,What is the difference between a constructor and a function?,Object-Oriented Programming,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely.  Constructors do not have return type, but functions have to indicate a return type.","1. A constructor is called whenever an object is created, whereas a function needs to be called explicitely | 2. Constructors do not have return type, but functions have to indicate a return type",Hard,1.0,True
